index,year,variable,annual_mean,long_term_mean,anomaly
4,1988,SWE,0,0,0
4,1988,Msnow,0,0,0
4,1988,Total,0.4159540244724395,0.22842167810797823,0.18753234636446128
4,1988,Rech,0.05400152788160299,0.011644484818362779,0.042357043063240216
4,1988,Eac,0.361934747284819,0.2232944883805993,0.13864025890421972
4,1988,SM,2.2989452888632584,1.3823663029014892,0.9165789859617692
4,1988,Qg,0.043537584372684075,0.011175554349927631,0.03236203002275644
4,1988,Q0,0,0,0
4,1988,Q1,0.02051528097995469,0.001809865064587479,0.018705415915367212
4,1988,Q2,0.023022303392729433,0.009365689285340177,0.013656614107389256
4,1988,STZ,0.05400152788160299,0.011644484818362779,0.042357043063240216
4,1988,SUZ,0.20371508920666118,0.022763086184295175,0.180952003022366
4,1988,SLZ,3.119844118033001,1.2691818941722803,1.8506622238607209
4,1988,q_sim,0.04327868852459021,0.010409413912250287,0.03286927461233992
4,1988,WB,0.0540192771876208,0.005127189727377424,0.04889208746024337
4,1989,Prain,0.33738012184989613,0.22842167810797823,0.1089584437419179
4,1989,Psnow,0,0,0
4,1989,SWE,0,0,0
4,1989,Msnow,0,0,0
4,1989,Total,0.33738012184989613,0.22842167810797823,0.1089584437419179
4,1989,Rech,0.03481736351702129,0.011644484818362779,0.023172878698658514
4,1989,Eac,0.29572449287527486,0.2232944883805993,0.07243000449467557
4,1989,SM,2.130904254836973,1.3823663029014892,0.7485379519354838
4,1989,Qg,0.037290104875557846,0.011175554349927631,0.026114550525630213
4,1989,Q0,0,0,0
4,1989,Q1,0.011610596635623539,0.001809865064587479,0.00980073157103606
4,1989,Q2,0.02567950823993432,0.009365689285340177,0.01631381895459414
4,1989,STZ,0.03481736351702129,0.011644484818362779,0.023172878698658514
4,1989,SUZ,0.10907754604214986,0.022763086184295175,0.08631445985785469
4,1989,SLZ,3.47993254061799,1.2691818941722803,2.21075064644571
4,1989,q_sim,0.03739726027397261,0.010409413912250287,0.02698784636172232
4,1989,WB,0.041655628974621474,0.005127189727377424,0.03652843924724405
4,1990,Prain,0.13097554371679637,0.22842167810797823,-0.09744613439118185
4,1990,Psnow,0,0,0
4,1990,SWE,0,0,0
4,1990,Msnow,0,0,0
4,1990,Total,0.13097554371679637,0.22842167810797823,-0.09744613439118185
4,1990,Rech,0.0016106262162466065,0.011644484818362779,-0.010033858602116173
4,1990,Eac,0.13483607364894623,0.2232944883805993,-0.08845841473165306
4,1990,SM,0.7573718639937171,1.3823663029014892,-0.6249944389077721
4,1990,Qg,0.008766966073048648,0.011175554349927631,-0.002408588276878983
4,1990,Q0,0,0,0
4,1990,Q1,0,0.001809865064587479,-0.001809865064587479
4,1990,Q2,0.008766966073048648,0.009365689285340177,-5.987232122915288e-4
4,1990,STZ,0.0016106262162466065,0.011644484818362779,-0.010033858602116173
4,1990,SUZ,0.0016106262162466065,0.022763086184295175,-0.021152459968048567
4,1990,SLZ,1.1880465246858607,1.2691818941722803,-0.08113536948641964
4,1990,q_sim,0.009232876712328737,0.010409413912250287,-0.0011765371999215499
4,1990,WB,-0.0038605299321497672,0.005127189727377424,-0.008987719659527191
4,1991,Prain,0.06891879407421404,0.22842167810797823,-0.15950288403376417
4,1991,Psnow,0,0,0
4,1991,SWE,0,0,0
4,1991,Msnow,0,0,0
4,1991,Total,0.06891879407421404,0.22842167810797823,-0.15950288403376417
4,1991,Rech,1.9552663253996657e-4,0.011644484818362779,-0.011448958185822812
4,1991,Eac,0.06966939981352947,0.2232944883805993,-0.1536250885670698
4,1991,SM,0.4467680629636445,1.3823663029014892,-0.9355982399378446
4,1991,Qg,0.001140915262018688,0.011175554349927631,-0.010034639087908944
4,1991,Q0,0,0,0
4,1991,Q1,0,0.001809865064587479,-0.001809865064587479
4,1991,Q2,0.001140915262018688,0.009365689285340177,-0.00822477402332149
4,1991,STZ,1.9552663253996657e-4,0.011644484818362779,-0.011448958185822812
4,1991,SUZ,1.9552663253996657e-4,0.022763086184295175,-0.02256755955175521
4,1991,SLZ,0.15460997575538798,1.2691818941722803,-1.1145719184168923
4,1991,q_sim,0,0.010409413912250287,-0.010409413912250287
4,1991,WB,-7.506057393153937e-4,0.005127189727377424,-0.005877795466692818
4,1992,Prain,0.30214638084076156,0.22842167810797823,0.07372470273278334
4,1992,Psnow,0,0,0
4,1992,SWE,0,0,0
4,1992,Msnow,0,0,0
4,1992,Total,0.30214638084076156,0.22842167810797823,0.07372470273278334
4,1992,Rech,0.016178767837085457,0.011644484818362779,0.004534283018722678
4,1992,Eac,0.2864057117822191,0.2232944883805993,0.06311122340161979
4,1992,SM,1.7876763706082435,1.3823663029014892,0.40531006770675426
4,1992,Qg,0.011378546580425582,0.011175554349927631,2.0299223049795138e-4
4,1992,Q0,0,0,0
4,1992,Q1,6.537989609223064e-4,0.001809865064587479,-0.0011560661036651727
4,1992,Q2,0.010724747619503275,0.009365689285340177,0.001359058334163098
4,1992,STZ,0.016178767837085457,0.011644484818362779,0.004534283018722678
4,1992,SUZ,0.018537931851404055,0.022763086184295175,-0.004225154332891119
4,1992,SLZ,1.4533533073264266,1.2691818941722803,0.1841714131541463
4,1992,q_sim,0.010601092896174872,0.010409413912250287,1.9167898392458485e-4
4,1992,WB,0.015740669058542232,0.005127189727377424,0.01061347933116481
4,1993,Prain,0.13932933693791338,0.22842167810797823,-0.08909234117006484
4,1993,Psnow,0,0,0
4,1993,SWE,0,0,0
4,1993,Msnow,0,0,0
4,1993,Total,0.13932933693791338,0.22842167810797823,-0.08909234117006484
4,1993,Rech,0.0011423634325242952,0.011644484818362779,-0.010502121385838484
4,1993,Eac,0.13777182754570177,0.2232944883805993,-0.08552266083489751
